Tree number,Date,Collected by ,Degrees,Minutes,Seconds,Coordinates (North) Degrees,Degrees,Minutes,Seconds,Coordinates (West) Degrees,Species,Scientific Name,DBH (cm),Notes ,DBH of second stem (cm),Distatance away from tree (m),Clinometer Reading (top of tree),Clinometer Reading (bottom of tree),Tree hight (meters),Tree Condition,Tree exposure to sunlight,Other notes,Phtographed
122,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.999,0,39.43331667,77,48.256,0,77.80426667,Green Ash,Fraxinus pennsylvanica,10,,,9,15,-9,3.837002695,Excellent,Full,N/A,X
123,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,26.0001,0,39.433335,77,48.241,0,77.80401667,Green Ash,Fraxinus pennsylvanica,12.3,,,10,35,-6,8.053117735,Good,Partial,By Byrd Legislation Building,X
124,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,26.001,0,39.43335,77,48.241,0,77.80401667,Green Ash,Fraxinus pennsylvanica,14,,,11,33,-5,8.105858824,Good,Partial,N/A,X
125,4/2/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.974,0,39.4329,77,48.225,0,77.80375,Ash ,Fraxinus,22.7,,,15,50,-5,19.18863384,Good,Partial,Tilting toward parking lot,X
126,4/2/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.978,0,39.43296667,77,48.226,0,77.80376667,Ash ,Fraxinus,13,,,15,43,-8,16.09583881,Good,Partial,N/A,X
127,4/2/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.981,0,39.43301667,77,48.223,0,77.80371667,Ash ,Fraxinus,24.2,,,15,52,-6,20.77568801,Good,Partial,N/A,X
128,4/2/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.986,0,39.4331,77,48.218,0,77.80363333,Ash ,Fraxinus,17.5,,,15,45,-5,16.31232995,Good,Full,N/A,X
129,4/2/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.989,0,39.43315,77,48.219,0,77.80365,Unknown Stump,N/A,N/A,,,,,,N/A,N/A,N/A,Stump,X
130,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,26.005,0,39.43341667,77,48.257,0,77.80428333,Green Ash,Fraxinus pennsylvanica,16,,,10,30,-5,6.648389327,Fair,Full,One branch is dead and the tree has been pruned,X
131,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,26.005,0,39.43341667,77,48.24,0,77.804,Dogwood,Cornus,4.3,,,,,,2.6,Good,Full,N/A,X
132,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,26.002,0,39.43336667,77,48.235,0,77.80391667,Green Ash,Fraxinus pennsylvanica,21.1,,,10,35,-11,8.945878473,Good,Full,N/A,X
133,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,26.001,0,39.43335,77,48.228,0,77.8038,Cherry,Prunus avium,15.5,,,10,15,-8,4.084900271,Good,Full,Pruned,X
134,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,25.971,0,39.43285,77,48.176,0,77.80293333,Crape Myrtle,Lagerstroemia,16.8,Multiple stems,,10,32,-10,8.011963326,Fair,Full,Bag Worms in 2 locations; between two power line poles,X
135,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,26.015,0,39.43358333,77,48.201,0,77.80335,Hackberry,Celtis occidentalis,31.5,,,17,35,-7,13.99086568,Excellent,Partial,N/A,X
136,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,26.016,0,39.4336,77,48.199,0,77.80331667,Red Oak,Quercus rubra,58.5,,,25,33,-6,18.86279571,Good,Full,"Super straight, cut at the top, all the branches are growing out from one side",X
137,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,26.018,0,39.43363333,77,48.224,0,77.80373333,Hackberry,Celtis occidentalis,49.5,,,20,29,-9,14.25386984,Good,Full,At a corner overlooking parts of the parking lot,X
138,4/23/16,"Jaysen, Tim, Tanai, Adam, Dr. Lesser, Dr. Plautz, Emily, Tim F. Sncha",39,26.011,0,39.43351667,77,48.262,0,77.80436667,Dogwood,Cornus,3,,,,,,2.4,Excellent,Full,N/A,
139,,,,,,,,,,,,,,,,,,,,,,Recorded twice see tree 148,X
140,4/23/16,"Ben, Ella, Demian, Rodney, Ferris",39,26,0.4,39.43344444,77,48,15.4,77.80427778,Green Ash,Fraxinus pennsylvanica,22.6,,,15,21.5,-3.5,6.826096436,Fair,Full,"Some Vertical branching, branch rot",X
141,4/23/16,"Ben, Ella, Demian, Rodney, Ferris",39,26,0.2,39.43338889,77,48,15.1,77.80419444,Unknown Stump,N/A,N/A,,,,,,N/A,N/A,N/A,Stump,X
142,4/23/16,"Ben, Ella, Demian, Rodney, Ferris",39,26,1.4,39.43372222,77,48,12.4,77.80344444,Eastern Hemlock,Tsuga canadensis,12.4,,,15,14.5,-9,6.25503037,Good,Full,"Split stem, bush honeysuckle growing beneath, tailgater damage",X
143,4/23/16,"Ben, Ella, Demian, Rodney, Ferris",39,26,0.9,39.43358333,77,48,13.5,77.80375,Eastern Hemlock,Tsuga canadensis,22.1,,,15,14,-7,5.581688456,Dying,Full,Destroyed by Wooly Adelgid; Could recover if treated ,X
144,7/11/16,"Dr. Lesser, Rodney, Benjamin",39.43419,0,0,39.43419,77.80369,0,0,77.80369,Yellow Oak,Quercus muehlenbergii,72,,,25,36,-3.5,19.6926287,Excellent,Full,Doing very well in spot,X
145,7/11/16,"Dr. Lesser, Rodney, Benjamin",39.43376,0,0,39.43376,77.80401,0,0,77.80401,Weeping Cherry,Prunus subhirtella ‘Pendula',29.2,,,10,7,-8,2.633253956,Good,Partial,Oriental Flowering Cherry,X
146,7/11/16,"Dr. Lesser, Rodney, Benjamin",39.43375,0,0,39.43375,77.80393,0,0,77.80393,Weeping Cherry,Prunus subhirtella ‘Pendula',28.9,,,10,7,-8,2.633253956,Good,Partial,N/A,X
147,7/11/16,"Dr. Lesser, Rodney, Benjamin",39.43364,0,0,39.43364,77.8041,0,0,77.8041,Weeping Cherry,Prunus subhirtella ‘Pendula',25.8,,,10,5,-8,2.280294982,Good,Partial,N/A,X
148,7/11/16,"Dr. Lesser, Rodney, Benjamin",39.43382,0,0,39.43382,77.80432,0,0,77.80432,Green Ash,Fraxinus pennsylvanica,20.8,,,20,11,-5,5.637379453,Excellent,Partial,Tree has been pluged,X
149,7/11/16,"Dr. Lesser, Rodney, Benjamin",39.43393,0,0,39.43393,77.80421,0,0,77.80421,Weeping Cherry,Prunus subhirtella ‘Pendula',20.8,,,10,3,-8,1.92948614,Good,Full,Abnormal new shoots,X
150,7/11/16,"Dr. Lesser, Rodney, Benjamin",39.43393,0,0,39.43393,77.80421,0,0,77.80421,Weeping Cherry,Prunus subhirtella ‘Pendula',18.3,,,11,4,-8,2.315144113,Good,Full,N/A,X
151,7/11/16,"Dr. Lesser, Rodney, Benjamin",39.43405,0,0,39.43405,77.80394,0,0,77.80394,Dogwood,Cornus,14.9,,,10,9,-8,2.98925275,Poor,Full,"3/5ths dying, several shoots have been removed",X
152,7/11/16,"Dr. Lesser, Rodney, Benjamin",39.43395,0,0,39.43395,77.80456,0,0,77.80456,Atlas Cedar ,Cedrus atlantica,23.7,,,25,22,-3.5,11.62972115,Good,Partial,# 152-154 are in same photo,X
153,7/11/16,"Dr. Lesser, Rodney, Benjamin",39.43394,0,0,39.43394,77.80453,0,0,77.80453,Atlas Cedar ,Cedrus atlantica,23.1,,,25,22,-3.5,11.62972115,Good,Partial,# 152-154 are in same photo,X
154,7/11/16,"Dr. Lesser, Rodney, Benjamin",39.43393,0,0,39.43393,77.80454,0,0,77.80454,Atlas Cedar ,Cedrus atlantica,25.4,,,25,22,-3.5,11.62972115,Good,Partial,# 152-154 are in same photo,X
155,7/11/16,"Dr. Lesser, Rodney, Benjamin",39.43438,0,0,39.43438,77.80442,0,0,77.80442,Thornless Honey Locust (cultivars),Gleditsia triacanthos,19.4,,,15,25,-6.5,8.703648997,Good,Full,N/A,X
156,7/11/16,"Dr. Lesser, Rodney, Benjamin",39.43431,0,0,39.43431,77.8043,0,0,77.8043,Thornless Honey Locust (cultivars),Gleditsia triacanthos,18.3,,,14,24,-6.5,7.828300111,Good,Full,N/A,X
157,7/11/16,"Dr. Lesser, Rodney, Benjamin",39.4343,0,0,39.4343,77.80429,0,0,77.80429,Thornless Honey Locust (cultivars),Gleditsia triacanthos,18.1,,,15,18,-6.5,6.582829568,Good,Full,Minor pruning,X
158,7/12/16,"Dr. Lesser, Rodney, Benjamin",39.43436,0,0,39.43436,77.80392,0,0,77.80392,Dogwood,Cornus,16.9,,,10,19,-8,4.84868448,Fair/Poor,Partial,Die back in the Crown,X
159,7/12/16,"Dr. Lesser, Rodney, Benjamin",39.4345,0,0,39.4345,77.80343,0,0,77.80343,Dogwood,Cornus,14.5,,,10,18,-8,4.654605309,Good/Fair,Partial,Die back at top,X
160,7/12/16,"Dr. Lesser, Rodney, Benjamin",39.43458,0,0,39.43458,77.80324,0,0,77.80324,Black Maple,Acer nigrum,49.2,,,25,35,-3.5,19.03425396,Excellent,Full,"Split Stem, has been pruned",X
161,7/12/16,"Dr. Lesser, Rodney, Benjamin",39.43492,0,0,39.43492,77.80303,0,0,77.80303,Dogwood,Cornus,13.8,,,10,19,-8,4.84868448,Good,Partial,N/A,X
162,7/12/16,"Dr. Lesser, Rodney, Benjamin",39.4352,0,0,39.4352,77.80317,0,0,77.80317,Scarlet Oak,Quercus coccinea,70,,,30,30,-1,17.84416002,Excellent,Full,N/A,X
163,7/12/16,"Dr. Lesser, Rodney, Benjamin",39.43536,0,0,39.43536,77.8029,0,0,77.8029,White Ash,Fraxinus americana,65.4,,,25,32,-3.5,17.1507993,Poor,Full,"Affected by Emerald Ash Bore, split in two at stem, Has been immunized against (Emerald Ash borer)?",X
164,7/13/16,"Dr. Lesser, Rodney, Benjamin",39.43546,0,0,39.43546,77.80289,0,0,77.80289,Red Maple,Acer rubrum,5,,,10,12,-8,3.530973964,Excellent,Full,Young Tree,X
165,7/13/16,"Dr. Lesser, Rodney, Benjamin",39.43549,0,0,39.43549,77.80289,0,0,77.80289,Sycamore,Platanus occidentalis,52.4,,,25,30,-3.5,15.96282223,Fair,Full,N/A,X
166,7/13/16,"Dr. Lesser, Rodney, Benjamin",39.43532,0,0,39.43532,77.80285,0,0,77.80285,Dogwood,Cornus,2,,,10,10,-8,3.168678154,Excellent,Full,N/A,X
167,7/13/16,"Dr. Lesser, Rodney, Benjamin",39.43555,0,0,39.43555,77.80294,0,0,77.80294,Red Maple,Acer rubrum,5.2,,,10,11,-8,3.349211438,Fair,Full,Damage on trunk caused by cuting and or mowing to close,X
168,7/13/16,"Dr. Lesser, Rodney, Benjamin",39.43513,0,0,39.43513,77.80337,0,0,77.80337,Dogwood,Cornus,21.5,,,10,19,-8,4.84868448,Fair,Full,Crown is dying,X
169,7/13/16,"Dr. Lesser, Rodney, Benjamin",39.43515,0,0,39.43515,77.80338,0,0,77.80338,Crape Myrtle,Lagerstroemia,5,,,10,10,-8,3.168678154,Excellent,Partial,N/A,X
170,7/13/16,"Dr. Lesser, Rodney, Benjamin",39.43516,0,0,39.43516,77.8037,0,0,77.8037,Crape Myrtle,Lagerstroemia,5,,,10,9,-8,2.98925275,Excellent,Partial,N/A,X
171,7/13/16,"Dr. Lesser, Rodney, Benjamin",39.43511,0,0,39.43511,77.80371,0,0,77.80371,Weeping Cherry,Cedrus atlantica ‘Glauca Pendula’,21.3,,,,,,3.5,Excellent,Full,N/A,X
172,7/13/16,"Dr. Lesser, Rodney, Benjamin",39.43494,0,0,39.43494,77.80367,0,0,77.80367,Black Walnut,Juglans nigra,83,,,35,29,-1,20.01174407,Excellent,Full,N/A,X
173,7/13/16,"Dr. Lesser, Rodney, Benjamin",39.43485,0,0,39.43485,77.80359,0,0,77.80359,Sycamore,Platanus occidentalis,90,,,35,36,-1,26.03991575,Good,Full,N/A,X
174,7/13/16,"Dr. Lesser, Rodney, Benjamin",39.43478,0,0,39.43478,77.80366,0,0,77.80366,Silver Maple,Acer saccharinum,101,,,30,36,-5,24.42093575,Good/Fair,Full,N/A,X
175,7/13/16,"Dr. Lesser, Rodney, Benjamin",39.43474,0,0,39.43474,77.80369,0,0,77.80369,Silver Maple,Acer saccharinum,77,,,29.5,35,-7,24.27826692,Fair,Full,"Lots of Pruning, and breakage",X
176,7/13/16,"Dr. Lesser, Rodney, Benjamin",39.43477,0,0,39.43477,77.80399,0,0,77.80399,Yellow Oak,Quercus muehlenbergii,132,,,30,38,-7,27.12210562,Fair,Full,N/A,X
177,7/13/16,"Dr. Lesser, Rodney, Benjamin",39.43486,0,0,39.43486,77.8039,0,0,77.8039,Norway Spruce,Picea abies,24.3,,,19.5,21,-5,9.191377622,Good,Full,leaning,X
178,7/13/16,"Dr. Lesser, Rodney, Benjamin",39.43449,0,0,39.43449,77.8038,0,0,77.8038,Red Maple,Acer rubrum,11.8,,,15,16,-6.5,6.010214911,Excellent,Full,Large scar on it,X
179,7/18/16,"Dr. Lesser, Rodney, Benjamin",39.43446,0,0,39.43446,77.80392,0,0,77.80392,Green Ash,Fraxinus pennsylvanica,11,,,10,22,-8,5.445670605,Dead,Full,Remove at once,X
180,7/18/16,"Dr. Lesser, Rodney, Benjamin",39.43448,0,0,39.43448,77.80399,0,0,77.80399,Magnolia,Magnolia grandiflora,3.7,Multiple stems,,10,17,-8,4.462715162,Excellent,Partial,N/A,X
181,7/18/16,"Dr. Lesser, Rodney, Benjamin",39.43449,0,0,39.43449,77.80402,0,0,77.80402,Magnolia,Magnolia grandiflora,5.6,Multiple stems,,10,18,-8,4.654605309,Excellent,Partial,N/A,X
182,7/18/16,"Dr. Lesser, Rodney, Benjamin",39.43454,0,0,39.43454,77.80399,0,0,77.80399,Magnolia,Magnolia grandiflora,4.9,Multiple stems,,10,14,-8,3.898688375,Excellent,Partial,N/A,X
183,7/18/16,"Dr. Lesser, Rodney, Benjamin",39.43453,0,0,39.43453,77.80391,0,0,77.80391,Magnolia,Magnolia grandiflora,3.9,Multiple stems,,10,11,-8,3.349211438,Excellent,Full,N/A,X
184,7/18/16,"Dr. Lesser, Rodney, Benjamin",39.43454,0,0,39.43454,77.80391,0,0,77.80391,Green Ash,Fraxinus pennsylvanica,17.5,,,15,23,-6.5,8.076156368,Fair/Poor,Full,Look into inoculating,X
185,7/18/16,"Dr. Lesser, Rodney, Benjamin",39.4346,0,0,39.4346,77.80399,0,0,77.80399,Birch Ornamental,Betula,7,,,15,17,-6.5,6.294994346,Excellent,Full,N/A,X
186,7/18/16,"Dr. Lesser, Rodney, Benjamin",39.4346,0,0,39.4346,77.80399,0,0,77.80399,Magnolia,Magnolia grandiflora,3,Multiple stems,,15,5,-6.5,3.021364077,Excellent,Full,Not in GPS memory,X
187,7/18/16,"Dr. Lesser, Rodney, Benjamin",39.4346,0,0,39.4346,77.80403,0,0,77.80403,Birch Ornamental,Betula,13,,,15,15,-6.5,5.728272011,Excellent,Full,N/A,X
188,7/18/16,"Dr. Lesser, Rodney, Benjamin",39.4346,0,0,39.4346,77.80403,0,0,77.80403,Mulberry,Morus alba,3.5,Multiple stems,,15,6,-6.5,3.285597654,Excellent,Partial,Over shadowed by Berch,X
189,7/18/16,"Dr. Lesser, Rodney, Benjamin",39.43464,0,0,39.43464,77.80412,0,0,77.80412,Paper Bark Maple,Acer griseum,6.9,,,10,4,-11,2.643071211,Excellent,Full,In GPS memory as 188,X
190,7/18/16,"Dr. Lesser, Rodney, Benjamin",39.43463,0,0,39.43463,77.80418,0,0,77.80418,Paper Bark Maple,Acer griseum,8.5,,,10,9,-8,2.98925275,Excellent,Full,In GPS memory as 189,X
191,7/18/16,"Dr. Lesser, Rodney, Benjamin",39.43464,0,0,39.43464,77.80426,0,0,77.80426,Paper Birch,Betula papyrifera,7.8,,,10,14,-8,3.898688375,Excellent,Full,N/A,X
192,7/18/16,"Dr. Lesser, Rodney, Benjamin",39.4348,0,0,39.4348,77.80419,0,0,77.80419,Red Maple,Acer rubrum,14.4,,,15,23,-6.5,8.076156368,Excellent,Full,N/A,X
193,7/18/16,"Dr. Lesser, Rodney, Benjamin",39.43485,0,0,39.43485,77.80412,0,0,77.80412,Dogwood,Cornus,4.5,,,10,3,-8,1.92948614,Fair,Full,N/A,X
194,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43281,0,0,39.43281,77.80518,0,0,77.80518,Crape Myrtle,Lagerstroemia,5.7,Multiple stems,,10,11,-8,3.349211438,Excellent,Full,N/A,X
195,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43513,0,0,39.43513,77.804,0,0,77.804,Crape Myrtle,Lagerstroemia,8,Multiple stems,,10,13,-8,3.714090258,Excellent,Partial,N/A,X
196,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43515,0,0,39.43515,77.80412,0,0,77.80412,Paper Birch,Betula papyrifera,8,Multiple stems,,15,16,-6.5,6.010214911,Good,Partial,Branches are chained together,X
197,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43512,0,0,39.43512,77.80419,0,0,77.80419,Paper Birch,Betula papyrifera,6.7,Multiple stems,,15,14,-6.5,5.448954167,Good,Partial,Branches are chained together,X
198,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43512,0,0,39.43512,77.80427,0,0,77.80427,Crape Myrtle,Lagerstroemia,5.4,Multiple stems,,10,12,-8,3.530973964,Excellent,Partial,N/A,X
199,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43502,0,0,39.43502,77.80421,0,0,77.80421,Sycamore,Platanus occidentalis,138.1,,,30,45,-1,30.52365195,Excellent,Full,"Has Root Sprots, and has been Pruned",X
200,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43501,0,0,39.43501,77.80429,0,0,77.80429,Dogwood,Cornus,3,Multiple stems,,,,,2,Excellent,Full,In photo with tree 201,X
201,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.435,0,0,39.435,77.80434,0,0,77.80434,Crape Myrtle,Lagerstroemia,3,Multiple stems,,,,,2,Excellent,Partial,In photo with tree 200,X
202,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43487,0,0,39.43487,77.80436,0,0,77.80436,Green Ash,Fraxinus pennsylvanica,2,Multiple stems,,,,,2,Good,Full,"Leave die back, could be a result of Emerald Ash Bore",X
203,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43484,0,0,39.43484,77.80441,0,0,77.80441,Dogwood,Cornus,3.5,,,,,,1.5,Poor,Partial,Lots of die back,X
204,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43484,0,0,39.43484,77.8045,0,0,77.8045,Dogwood,Cornus,5,,,,,,2,Poor,Partial,"Lots of die back, half of tree is dead",X
205,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43497,0,0,39.43497,77.80455,0,0,77.80455,Dogwood,Cornus,7.2,,,,,,3,Good,Partial,Tree has produced fruit,X
206,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43491,0,0,39.43491,77.80479,0,0,77.80479,Red Spruce,Picea rubens,6.5,,,10,7,-8,2.633253956,Excellent,Full,Tree has cones,X
207,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43505,0,0,39.43505,77.80441,0,0,77.80441,Crape Myrtle (Pink),Lagerstroemia,7.8,Multiple stems,,10,18,-3,3.773274755,Excellent,Partial,Has root suckers,X
208,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43493,0,0,39.43493,77.80451,0,0,77.80451,Paper Birch,Betula papyrifera,6.7,Multiple stems,,15,15,-6.5,5.728272011,Excellent,Full,Stems are chained together,X
209,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43494,0,0,39.43494,77.80466,0,0,77.80466,Paper Birch,Betula papyrifera,4.5,Multiple stems,,15,11,-6.5,4.624738762,Good/Fair,Full,Some branches have die back,X
210,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43489,0,0,39.43489,77.80467,0,0,77.80467,Crape Myrtle (Pink),Lagerstroemia,6.9,Multiple stems,,10,10,-8,3.168678154,Excellent,Full,N/A,X
211,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43489,0,0,39.43489,77.80479,0,0,77.80479,Crape Myrtle (White) ,Lagerstroemia,7.1,Multiple stems,,10,11,-8,3.349211438,Excellent,Full,N/A,X
212,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43489,0,0,39.43489,77.80479,0,0,77.80479,Paper Birch,Betula papyrifera,5.7,,,15,8,-6.5,3.817146645,Fair,Full,Tree has a lean,X
213,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.4351,0,0,39.4351,77.80501,0,0,77.80501,Stagehorn Sumacy,Rhus typhina,5.4,,,,,,3,Excellent,Full,"Mutiple spawning, steams ove a 10 meter bank",X
214,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43504,0,0,39.43504,77.80522,0,0,77.80522,Chinese Elm,Ulmus parvifolia,22.4,,,15,17,-6.5,6.294994346,Excellent,Full,N/A,X
215,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43511,0,0,39.43511,77.80521,0,0,77.80521,Sugar Maple,Acer saccharum,10.4,,,15,13,-6.5,5.172056991,Excellent,Full,N/A,X
216,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43516,0,0,39.43516,77.8051,0,0,77.8051,Sugar Maple,Acer saccharum,8.8,,,15,12,-6.5,4.89738255,Excellent,Full,N/A,X
217,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43521,0,0,39.43521,77.805,0,0,77.805,Sugar Maple,Acer saccharum,7.8,,,15,12,-6.5,4.89738255,Good,Full,Some die back,X
218,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43526,0,0,39.43526,77.80485,0,0,77.80485,Sugar Maple,Acer saccharum,8.5,,,15,12,-6.5,4.89738255,Fair,Full,Die back at the top of the tree and on the side,X
219,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43529,0,0,39.43529,77.80473,0,0,77.80473,Sugar Maple,Acer saccharum,7.6,,,15,8,-6.5,3.817146645,Poor,Full,Lots of die back,X
220,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43533,0,0,39.43533,77.80462,0,0,77.80462,Sugar Maple,Acer saccharum,7.9,,,15,10,-6.5,4.353938835,Poor,Full,Significant die back,X
221,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.4354,0,0,39.4354,77.80449,0,0,77.80449,Sugar Maple,Acer saccharum,8.5,,,15,8,-6.5,3.817146645,Poor,Full,Top of the tree is dead,X
222,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43543,0,0,39.43543,77.80432,0,0,77.80432,Sugar Maple,Acer saccharum,8,,,15,10,-6.5,4.353938835,Poor,Full,Significant die back. Top of the tree is dead,X
223,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43549,0,0,39.43549,77.80421,0,0,77.80421,Sugar Maple,Acer saccharum,8,,,15,10,-6.5,4.353938835,Poor,Full,Top of the crown is dead,X
224,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43552,0,0,39.43552,77.80411,0,0,77.80411,Sugar Maple,Acer saccharum,7.7,,,15,13,-6.5,5.172056991,Fair,Full,Som die back,X
225,7/20/16,"Dr. Lesser, Rodney, Benjamin",39.43557,0,0,39.43557,77.80401,0,0,77.80401,Red Spruce,Picea rubens,5,,,,,,2,Excellent,Full,N/A,X
226,7/25/16,"Dr. Lesser, Rodney, Benjamin",39.43237,0,0,39.43237,77.8056,0,0,77.8056,Silver Maple,Acer saccharinum,29,,,20,27,-5,11.94028226,Excellent,Full,N/A,X
227,7/25/16,"Dr. Lesser, Rodney, Benjamin",39.43234,0,0,39.43234,77.8056,0,0,77.8056,Ginkgo,Ginkgo biloba,15,,,15,20,-6.5,7.168587639,Excellent,Full,N/A,X
228,7/25/16,"Dr. Lesser, Rodney, Benjamin",39.43229,0,0,39.43229,77.8054,0,0,77.8054,Sugar Maple,Acer saccharum,72.5,,,25,34,-3.5,18.39177842,Good,Full,Half way up Crown some branches are dead,X
229,7/25/16,"Dr. Lesser, Rodney, Benjamin",39.43225,0,0,39.43225,77.80529,0,0,77.80529,Sycamore,Platanus occidentalis,45.6,,,25,38,-3.5,21.06120617,Excellent,Full,N/A,X
230,7/25/16,"Dr. Lesser, Rodney, Benjamin",39.43221,0,0,39.43221,77.80523,0,0,77.80523,Dogwood,Cornus,15.7,,,15,6,-6.5,3.285597654,Good/Fair,Partial,N/a,X
231,7/25/16,"Dr. Lesser, Rodney, Benjamin",39.43219,0,0,39.43219,77.80518,0,0,77.80518,Dogwood,Cornus,10.7,,,15,7,-6.5,3.550802538,Good,Partial,Some die back,X
232,7/25/16,"Dr. Lesser, Rodney, Benjamin",39.43226,0,0,39.43226,77.80512,0,0,77.80512,Black Maple,Acer nigrum,77,,,28,36,-1,20.8319326,Excellent,Full,Metal plate in tree trunk,X
233,7/25/16,"Dr. Lesser, Rodney, Benjamin",39.43232,0,0,39.43232,77.80507,0,0,77.80507,Sugar Maple,Acer saccharum,25.2,,,20,26,-5,11.50442504,Excellent,Partial,N/A,X
234,7/25/16,"Dr. Lesser, Rodney, Benjamin",39.43241,0,0,39.43241,77.80508,0,0,77.80508,Black Oak,Quercus velutina,57.8,,,25,34,-3.5,18.39177842,Good,Full,Tree has been trimed back over side walk,X
235,7/25/16,"Dr. Lesser, Rodney, Benjamin",39.43262,0,0,39.43262,77.805,0,0,77.805,Cherry,Prunus avium,37.7,,,20,28,-5,12.3839619,Excellent,Full,"Plaque ""1996 AD Nursing Class""",X
236,7/25/16,"Dr. Lesser, Rodney, Benjamin",39.43258,0,0,39.43258,77.80498,0,0,77.80498,Saucer Magnolia,Magnolia X soulangeana,12.2,,,15,14,-6.5,5.448954167,Good,Partial,"Plaque ""planted in memory of Lita E. Trayer Nursing class 0f 1986""",X
237,7/25/16,"Dr. Lesser, Rodney, Benjamin",39.43263,0,0,39.43263,77.80498,0,0,77.80498,Black Walnut,Juglans nigra,72,,,25,28,-3.5,14.8218013,Good,Full,Some pruning has been done,X
238,7/25/16,"Dr. Lesser, Rodney, Benjamin",39.43277,0,0,39.43277,77.80507,0,0,77.80507,Dogwood,Cornus,13,,,10,11,-8,3.349211438,Fair,Partial,Branches are broken,X
239,7/25/16,"Dr. Lesser, Rodney, Benjamin",39.4328,0,0,39.4328,77.80512,0,0,77.80512,Dogwood,Cornus,18,,,15,22,-6.5,7.769427512,Poor,Partial,Leaves are discolered,X
240,7/25/16,"Dr. Lesser, Rodney, Benjamin",39.43281,0,0,39.43281,77.80523,0,0,77.80523,Sugar Maple,Acer saccharum,41.9,,,25,32,-5,17.80895039,Good,Partial,"Plaque ""planted in memory of Fr. Gordon Slonaker"" The tree has a strange wire coming out of trunk, the tree has been tapped for syrup",X
